population,households,median_house_value
496.0,177.0,352100.0
413.0,193.0,269700.0
409.0,166.0,147500.0
462.0,189.0,118800.0
467.0,198.0,188800.0
423.0,160.0,187500.0
492.0,147.0,81300.0
467.0,169.0,118800.0
463.0,190.0,335200.0
420.0,176.0,366700.0
488.0,186.0,126600.0
415.0,126.0,71300.0
425.0,140.0,122700.0
462.0,184.0,179900.0
473.0,149.0,88800.0
469.0,168.0,160000.0
496.0,209.0,174200.0
442.0,195.0,318200.0
468.0,181.0,140600.0
446.0,180.0,156300.0
447.0,165.0,93800.0
435.0,162.0,81800.0
417.0,155.0,83400.0
435.0,136.0,79700.0
494.0,179.0,101600.0
482.0,150.0,82800.0
429.0,154.0,142900.0
406.0,133.0,94300.0
412.0,168.0,327100.0
489.0,218.0,235600.0
403.0,172.0,245500.0
483.0,249.0,332500.0
486.0,267.0,250000.0
494.0,175.0,206300.0
481.0,223.0,241000.0
409.0,160.0,189600.0
482.0,215.0,210200.0
429.0,158.0,197900.0
496.0,216.0,190800.0
411.0,172.0,405400.0
440.0,192.0,204200.0
425.0,207.0,175000.0
481.0,198.0,179800.0
485.0,171.0,431000.0
480.0,149.0,162100.0
407.0,183.0,163000.0
431.0,149.0,192600.0
463.0,160.0,182700.0
453.0,176.0,208500.0
455.0,185.0,190400.0
435.0,181.0,129200.0
495.0,187.0,68900.0
481.0,211.0,80800.0
481.0,211.0,83300.0
436.0,155.0,93800.0
448.0,159.0,73800.0
471.0,186.0,86400.0
485.0,260.0,51700.0
408.0,166.0,82100.0
463.0,199.0,92200.0
434.0,147.0,108000.0
494.0,175.0,61500.0
462.0,184.0,156300.0
425.0,148.0,235600.0
498.0,217.0,148900.0
436.0,173.0,226900.0
486.0,173.0,306800.0
404.0,224.0,350000.0
416.0,122.0,500001.0
410.0,294.0,99400.0
472.0,183.0,438000.0
490.0,257.0,171100.0
434.0,196.0,186900.0
479.0,161.0,79000.0
490.0,248.0,287500.0
467.0,255.0,212500.0
406.0,180.0,84600.0
421.0,185.0,103600.0
494.0,203.0,85800.0
466.0,180.0,126600.0
485.0,198.0,96100.0
414.0,151.0,101900.0
410.0,158.0,184600.0
427.0,164.0,118800.0
483.0,146.0,47500.0
401.0,84.0,75000.0
406.0,122.0,43800.0
453.0,149.0,153800.0
